task,model,example_id,time_seconds,rougeL_f1,bertscore_precision,bertscore_recall,bertscore_f1,hallucination_score,error,generated_preview
qna,gemma4:e2b,qna_001,80.552,0.7778,0.9519,0.9082,0.9295,0.0,,Les employés bénéficieront de 30 jours de congé payé par an à partir de 2027.
qna,gemma4:e2b,qna_002,47.649,0.5806,0.8948,0.8326,0.8626,0.0,,Il faut soumettre une demande de congé au moins 15 jours à l'avance.
qna,gemma4:e2b,qna_003,48.566,0.4286,0.8573,0.8425,0.8498,0.0,,3 extincteurs étaient jugés non conformes lors de l'inspection.
qna,gemma4:e2b,qna_004,33.318,1.0,1.0,1.0,1.0,0.0,,La prochaine inspection est prévue pour mai 2027.
qna,gemma4:e2b,qna_005,38.375,0.6667,0.9184,0.8664,0.8916,0.0,,"Le budget alloué est de 2,5 millions de dinars algériens."
qna,gemma4:e2b,qna_006,38.777,1.0,1.0,1.0,1.0,0.0,,Le projet sera mené par l'équipe IT en collaboration avec un prestataire externe sélectionné par appel d'offres.
qna,gemma4:e2b,qna_007,38.652,0.6667,0.8697,0.9613,0.9132,0.0,,La date limite pour le contrôle technique des véhicules est le 30 septembre 2026.
qna,gemma4:e2b,qna_008,40.925,0.8125,0.9553,0.9141,0.9342,0.0,,Tout véhicule non contrôlé après cette date sera immobilisé jusqu'à régularisation.
qna,gemma4:e2b,qna_009,39.576,0.5556,0.8782,0.8125,0.844,0.0,,"La production totale au premier trimestre 2026 est de 1,2 million de barils."
qna,gemma4:e2b,qna_010,40.162,0.95,0.973,0.9907,0.9818,0.0,,L'augmentation de production est attribuée à la mise en service de la nouvelle unité de distillation en février 2026.
qna,gemma4:e4b-it-q4_K_M,qna_001,91.063,0.6875,0.9277,0.8322,0.8774,0.0,,Chaque employé bénéficiera de 30 jours de congé payé par an.
qna,gemma4:e4b-it-q4_K_M,qna_002,8.387,0.6452,0.9082,0.8478,0.877,0.0,,Il faut soumettre les demandes de congé au moins 15 jours à l'avance.
qna,gemma4:e4b-it-q4_K_M,qna_003,18.681,0.2308,0.8203,0.796,0.808,0.0,,Trois extincteurs étaient non conformes lors de l'inspection.
qna,gemma4:e4b-it-q4_K_M,qna_004,5.383,1.0,1.0,1.0,1.0,0.0,,La prochaine inspection est prévue pour mai 2027.
qna,gemma4:e4b-it-q4_K_M,qna_005,19.993,0.6667,0.9184,0.8664,0.8916,0.0,,"Le budget alloué est de 2,5 millions de dinars algériens."
qna,gemma4:e4b-it-q4_K_M,qna_006,8.367,1.0,1.0,1.0,1.0,0.0,,Le projet sera mené par l'équipe IT en collaboration avec un prestataire externe sélectionné par appel d'offres.
qna,gemma4:e4b-it-q4_K_M,qna_007,81.7,0.6667,0.8697,0.9613,0.9132,0.0,,La date limite pour le contrôle technique des véhicules est le 30 septembre 2026.
qna,gemma4:e4b-it-q4_K_M,qna_008,80.793,1.0,1.0,1.0,1.0,0.0,,Tout véhicule non contrôlé après le 30 septembre 2026 sera immobilisé jusqu'à régularisation.
qna,gemma4:e4b-it-q4_K_M,qna_009,17.894,0.5556,0.8782,0.8125,0.844,0.0,,"La production totale au premier trimestre 2026 est de 1,2 million de barils."
qna,gemma4:e4b-it-q4_K_M,qna_010,9.161,0.95,0.973,0.9907,0.9818,0.0,,L'augmentation de production est attribuée à la mise en service de la nouvelle unité de distillation en février 2026.
qna,mistral,qna_001,64.781,0.6061,0.9281,0.857,0.8911,0.0,, Les employés auront 30 jours de congé payé par an à partir de 2027.
qna,mistral,qna_002,13.019,0.5806,0.8948,0.8326,0.8626,0.0,, Il faut soumettre une demande de congé au moins 15 jours à l'avance.
qna,mistral,qna_003,35.297,0.2857,0.7843,0.7651,0.7746,0.0,, Il y avait 3 extincteurs non conformes lors de l'inspection.
qna,mistral,qna_004,8.506,1.0,1.0,1.0,1.0,0.0,, La prochaine inspection est prévue pour mai 2027.
qna,mistral,qna_005,41.695,0.5,0.8293,0.8433,0.8362,0.0,," Le montant du budget alloué pour la modernisation du système informatique est de 2,5 millions de dinars algériens."
qna,mistral,qna_006,17.656,0.6122,0.8562,0.91,0.8823,0.0,," L'équipe IT va mener le projet de modernisation du système informatique de gestion des stocks, en collaboration avec un"
qna,mistral,qna_007,35.458,0.6154,0.835,0.9541,0.8906,0.0,, La date limite pour le contrôle technique des véhicules de service est le 30 septembre 2026.
qna,mistral,qna_008,20.427,0.45,0.8038,0.8792,0.8398,0.0,," Un véhicule n'ayant pas été contrôlé à temps sera immobilisé jusqu'à régularisation, conformément à la circulaire inter"
qna,mistral,qna_009,31.903,0.5556,0.8782,0.8125,0.844,0.0,," La production totale au premier trimestre 2026 est de 1,2 million de barils."
qna,mistral,qna_010,14.448,0.95,0.973,0.9907,0.9818,0.0,, L'augmentation de production est attribuée à la mise en service de la nouvelle unité de distillation en février 2026.
qna,phi4-mini,qna_001,26.789,0.8,0.966,0.9249,0.945,0.0,,"À partir de 2027, chaque employé bénéficiera de 30 jours de congé payé par an."
qna,phi4-mini,qna_002,6.437,1.0,1.0,1.0,1.0,0.0,,Les demandes de congé doivent être soumises au moins 15 jours à l'avance via le portail RH interne.
qna,phi4-mini,qna_003,14.375,0.4828,0.8615,0.8606,0.861,0.0,,Trois extincteurs ont été jugés non conformes lors de l'inspection.
qna,phi4-mini,qna_004,1.96,0.3636,0.8012,0.6849,0.7385,0.0,,Mai 2027
qna,phi4-mini,qna_005,16.177,0.5294,0.8358,0.8434,0.8396,0.0,,"Le budget alloué pour la modernisation du système informatique est de 2,5 millions de dinars algériens."
qna,phi4-mini,qna_006,6.584,0.7317,0.8892,0.9124,0.9007,0.0,,"L'équipe IT, en collaboration avec un prestataire externe sélectionné par appel d'offres, sera responsable du projet de "
qna,phi4-mini,qna_007,12.907,0.64,0.8557,0.9414,0.8965,0.0,,La date limite pour le contrôle technique des véhicules est avant le 30 septembre 2026.
qna,phi4-mini,qna_008,12.21,0.3934,0.7595,0.8844,0.8172,0.0,,"Si un véhicule n'est pas contrôlé avant le 30 septembre 2026, il sera immobilisé jusqu'à son contrôle et sa régulation. "
qna,phi4-mini,qna_009,12.898,0.5556,0.8798,0.811,0.844,0.0,,"La production totale du premier trimestre 2026 est de 1,2 million de barils."
qna,phi4-mini,qna_010,6.598,0.85,0.9552,0.9756,0.9653,0.0,,L'augmentation de production est attribuée à la mise en service d'une nouvelle unité de distillation en février 2026.
qna,qwen3.5:4b,qna_001,51.746,0.7027,0.8768,0.9038,0.8901,0.1,,"À partir du 1er janvier 2027, chaque employé bénéficiera de **30 jours** de congé payé par an."
qna,qwen3.5:4b,qna_002,32.706,0.5806,0.8965,0.8358,0.8651,0.0,,Il faut soumettre la demande de congé au moins 15 jours à l'avance.
qna,qwen3.5:4b,qna_003,27.201,0.3077,0.8322,0.8067,0.8192,0.0,,3 extincteurs étaient non conformes lors de l'inspection.
qna,qwen3.5:4b,qna_004,26.05,1.0,1.0,1.0,1.0,0.0,,La prochaine inspection est prévue pour mai 2027.
qna,qwen3.5:4b,qna_005,35.576,0.45,0.7632,0.8326,0.7964,0.0,,"Le montant du budget alloué pour la modernisation du système informatique de gestion des stocks est de **2,5 millions de"
qna,qwen3.5:4b,qna_006,33.282,0.9524,0.9545,0.9814,0.9677,0.0,,Le projet de modernisation sera mené par l'équipe IT en collaboration avec un prestataire externe sélectionné par appel 
qna,qwen3.5:4b,qna_007,28.334,0.6667,0.7961,0.9211,0.8541,0.0,,La date limite pour le contrôle technique des véhicules est le **30 septembre 2026**.
qna,qwen3.5:4b,qna_008,32.703,0.7027,0.9006,0.9446,0.922,0.0,,"Si un véhicule n'est pas contrôlé avant le 30 septembre 2026, il sera immobilisé jusqu'à régularisation."
qna,qwen3.5:4b,qna_009,28.381,0.5556,0.8782,0.8125,0.844,0.0,,"La production totale au premier trimestre 2026 est de 1,2 million de barils."
qna,qwen3.5:4b,qna_010,30.686,0.95,0.973,0.9907,0.9818,0.0,,L'augmentation de production est attribuée à la mise en service de la nouvelle unité de distillation en février 2026.
letter,gemma4:e2b,letter_001,102.102,0.4067,0.7343,0.7853,0.7589,0.0,,"[En-tête de SSPP] [Adresse de SSPP] [Ville, Code Postal] [Téléphone] [Email]  [Lieu], le [Date]  À [Nom de la société GP"
letter,gemma4:e2b,letter_002,100.52,0.3974,0.723,0.7814,0.7511,0.0,,[Nom de l'Entreprise/Service émetteur] [Adresse de l'Entreprise] [Code Postal et Ville] [Téléphone] [Email]  [Nom du Fou
letter,gemma4:e2b,letter_003,89.985,0.392,0.7285,0.7866,0.7564,0.0,,"[Nom de l'Entreprise/Direction] [Service émetteur] [Adresse de l'Entreprise]  [Lieu], le [Date du jour]  **Objet : Convo"
letter,gemma4:e2b,letter_004,118.256,0.3671,0.6727,0.7822,0.7233,0.1,,[Nom de l'entreprise/Service émetteur] [Adresse complète] [Code Postal et Ville] [Téléphone] [Email]  [Nom du Destinatai
letter,gemma4:e2b,letter_005,86.888,0.3814,0.7128,0.7592,0.7353,0.4,,"[Nom et Prénom de l'employé] [Matricule/Fonction] [Service]  [Lieu], le [Date du jour]  À Monsieur le Chef de Service [N"
letter,gemma4:e4b-it-q4_K_M,letter_001,303.629,0.303,0.6475,0.7454,0.693,0.2,,"**[En-tête de l'entreprise]**  **SSPP** Subsidiaire SSPP / Sonatrach [Adresse complète de SSPP] [Ville, Code Postal]  **"
